activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-112.1045861024,33.46588637600001,"POLYGON ((-112.11498 33.46325,-112.11498 33.46799,-112.09779 33.46799,-112.09779 33.46325,-112.11498 33.46325))",POINT (-112.1045861024 33.46588637600001),125,578.7305767016325,3565.0131737976467
2,A2,-112.08863360847458,33.4645487079096,"POLYGON ((-112.09779 33.46325,-112.09779 33.46799,-112.0806 33.46799,-112.0806 33.46325,-112.09779 33.46325))",POINT (-112.08863360847458 33.4645487079096),503,2609.2035966149374,3794.299324688893
3,A3,-112.07457309506168,33.46523139061729,"POLYGON ((-112.0806 33.46325,-112.0806 33.46799,-112.06341 33.46799,-112.06341 33.46325,-112.0806 33.46325))",POINT (-112.07457309506168 33.46523139061729),370,3983.2090265990387,8861.108170658306
4,A4,-112.05271164712036,33.46521032513088,"POLYGON ((-112.06341 33.46325,-112.06341 33.46799,-112.04622 33.46799,-112.04622 33.46325,-112.06341 33.46325))",POINT (-112.05271164712036 33.46521032513088),155,2522.2420982142075,9206.147178565065
5,A5,-112.03824433515625,33.465452564843744,"POLYGON ((-112.04622 33.46325,-112.04622 33.46799,-112.02903 33.46799,-112.02903 33.46325,-112.04622 33.46325))",POINT (-112.03824433515625 33.465452564843744),345,2130.58378934874,5061.21707731585
6,B1,-112.10290113076921,33.461106430769235,"POLYGON ((-112.1149763 33.458510000000004,-112.1149763 33.46325,-112.0977863 33.46325,-112.0977863 33.458510000000004,-112.1149763 33.458510000000004))",POINT (-112.10290113076921 33.461106430769235),34,922.5265812762876,1508.767267430925
7,B2,-112.08902944204942,33.46220532332158,"POLYGON ((-112.0977863 33.458510000000004,-112.0977863 33.46325,-112.0805963 33.46325,-112.0805963 33.458510000000004,-112.0977863 33.458510000000004))",POINT (-112.08902944204942 33.46220532332158),245,1999.720269877132,2598.1182546330483
8,B3,-112.07353525796604,33.460619282372875,"POLYGON ((-112.0805963 33.458510000000004,-112.0805963 33.46325,-112.0634063 33.46325,-112.0634063 33.458510000000004,-112.0805963 33.458510000000004))",POINT (-112.07353525796604 33.460619282372875),236,4107.466459416154,5436.26756009444
9,B4,-112.05242714029853,33.4610845164179,"POLYGON ((-112.0634063 33.458510000000004,-112.0634063 33.46325,-112.0462163 33.46325,-112.0462163 33.458510000000004,-112.0634063 33.458510000000004))",POINT (-112.05242714029853 33.4610845164179),35,881.8939139678721,1415.281539637325
10,B5,-112.0416514658228,33.46205222911392,"POLYGON ((-112.0462163 33.458510000000004,-112.0462163 33.46325,-112.0290263 33.46325,-112.0290263 33.458510000000004,-112.0462163 33.458510000000004))",POINT (-112.0416514658228 33.46205222911392),60,576.7890391059198,2309.815318440385
11,C1,-112.1031040603774,33.4558569509434,"POLYGON ((-112.1149763 33.453770000000006,-112.1149763 33.458510000000004,-112.0977863 33.458510000000004,-112.0977863 33.453770000000006,-112.1149763 33.453770000000006))",POINT (-112.1031040603774 33.4558569509434),46,675.1690313128319,5802.073417440474
12,C2,-112.08930812564105,33.45563149829059,"POLYGON ((-112.0977863 33.453770000000006,-112.0977863 33.458510000000004,-112.0805963 33.458510000000004,-112.0805963 33.453770000000006,-112.0977863 33.453770000000006))",POINT (-112.08930812564105 33.45563149829059),92,1331.9875203223685,3933.335868286338
13,C3,-112.07192724964037,33.45630667769787,"POLYGON ((-112.0805963 33.453770000000006,-112.0805963 33.458510000000004,-112.0634063 33.458510000000004,-112.0634063 33.453770000000006,-112.0805963 33.453770000000006))",POINT (-112.07192724964037 33.45630667769787),229,3992.195850271179,7199.139277929641
14,C4,-112.05323979157902,33.45590584842105,"POLYGON ((-112.0634063 33.453770000000006,-112.0634063 33.458510000000004,-112.0462163 33.458510000000004,-112.0462163 33.453770000000006,-112.0634063 33.453770000000006))",POINT (-112.05323979157902 33.45590584842105),53,2902.677063124287,1227.4821743628297
15,C5,-112.03917068431375,33.456256511764714,"POLYGON ((-112.0462163 33.453770000000006,-112.0462163 33.458510000000004,-112.0290263 33.458510000000004,-112.0290263 33.453770000000006,-112.0462163 33.453770000000006))",POINT (-112.03917068431375 33.456256511764714),18,2595.7142427290755,1627.3581387701252
16,D1,-112.10299957572815,33.45113841650485,"POLYGON ((-112.1149763 33.44903000000001,-112.1149763 33.453770000000006,-112.0977863 33.453770000000006,-112.0977863 33.44903000000001,-112.1149763 33.44903000000001))",POINT (-112.10299957572815 33.45113841650485),77,1164.8791547294331,3165.1529209217792
17,D2,-112.09009625391701,33.451213529953904,"POLYGON ((-112.0977863 33.44903000000001,-112.0977863 33.453770000000006,-112.0805963 33.453770000000006,-112.0805963 33.44903000000001,-112.0977863 33.44903000000001))",POINT (-112.09009625391701 33.451213529953904),185,2747.2464980273057,7290.725929321852
18,D3,-112.07168945719698,33.451068492424234,"POLYGON ((-112.0805963 33.44903000000001,-112.0805963 33.453770000000006,-112.0634063 33.453770000000006,-112.0634063 33.44903000000001,-112.0805963 33.44903000000001))",POINT (-112.07168945719698 33.451068492424234),228,12341.923570249935,12913.90424943447
19,D4,-112.05651710476195,33.45113705523811,"POLYGON ((-112.0634063 33.44903000000001,-112.0634063 33.453770000000006,-112.0462163 33.453770000000006,-112.0462163 33.44903000000001,-112.0634063 33.44903000000001))",POINT (-112.05651710476195 33.45113705523811),61,3482.739647966631,2505.4423296113546
20,D5,-112.03612307894733,33.45124953859648,"POLYGON ((-112.0462163 33.44903000000001,-112.0462163 33.453770000000006,-112.0290263 33.453770000000006,-112.0290263 33.44903000000001,-112.0462163 33.44903000000001))",POINT (-112.03612307894733 33.45124953859648),36,1195.9530784793594,1421.1879035993595
21,E1,-112.10887249271839,33.44686453203884,"POLYGON ((-112.1149763 33.44429000000001,-112.1149763 33.44903000000001,-112.0977863 33.44903000000001,-112.0977863 33.44429000000001,-112.1149763 33.44429000000001))",POINT (-112.10887249271839 33.44686453203884),175,1941.8424909385344,4303.909304460887
22,E2,-112.08854913636367,33.447038522727254,"POLYGON ((-112.0977863 33.44429000000001,-112.0977863 33.44903000000001,-112.0805963 33.44903000000001,-112.0805963 33.44429000000001,-112.0977863 33.44429000000001))",POINT (-112.08854913636367 33.447038522727254),123,4831.329719594074,7302.869484531273
23,E3,-112.07434685589745,33.44702280974357,"POLYGON ((-112.0805963 33.44429000000001,-112.0805963 33.44903000000001,-112.0634063 33.44903000000001,-112.0634063 33.44429000000001,-112.0805963 33.44429000000001))",POINT (-112.07434685589745 33.44702280974357),156,6048.323439579545,12603.867446046412
24,E4,-112.05457398601038,33.44724948290157,"POLYGON ((-112.0634063 33.44429000000001,-112.0634063 33.44903000000001,-112.0462163 33.44903000000001,-112.0462163 33.44429000000001,-112.0634063 33.44429000000001))",POINT (-112.05457398601038 33.44724948290157),162,2887.4720835075177,5809.636498994483
25,E5,-112.0381371555556,33.446980292592585,"POLYGON ((-112.0462163 33.44429000000001,-112.0462163 33.44903000000001,-112.0290263 33.44903000000001,-112.0290263 33.44429000000001,-112.0462163 33.44429000000001))",POINT (-112.0381371555556 33.446980292592585),75,1951.3511744476816,2066.879277546767
26,Gate1,-112.1235713,33.44666,,POINT (-112.1235713 33.44666),0,0.0,0.0
27,Gate2,-112.1235713,33.4514,,POINT (-112.1235713 33.4514),0,10000.0,10000.0
28,Gate3,-112.1235713,33.456140000000005,,POINT (-112.1235713 33.456140000000005),0,0.0,0.0
29,Gate4,-112.1235713,33.46088,,POINT (-112.1235713 33.46088),0,6000.0,6000.0
30,Gate5,-112.1235713,33.46562,,POINT (-112.1235713 33.46562),0,0.0,0.0
31,Gate6,-112.1063813,33.470360299999996,,POINT (-112.1063813 33.470360299999996),0,18000.0,18000.0
32,Gate7,-112.0891913,33.470360299999996,,POINT (-112.0891913 33.470360299999996),0,16000.0,16000.0
33,Gate8,-112.0720013,33.470360299999996,,POINT (-112.0720013 33.470360299999996),0,2000.0,2000.0
34,Gate9,-112.0548113,33.470360299999996,,POINT (-112.0548113 33.470360299999996),0,16000.0,16000.0
35,Gate10,-112.0376213,33.470360299999996,,POINT (-112.0376213 33.470360299999996),0,12000.0,12000.0
36,Gate11,-112.020435,33.4656203,,POINT (-112.020435 33.4656203),0,2000.0,2000.0
37,Gate12,-112.020435,33.4608803,,POINT (-112.020435 33.4608803),0,20000.0,20000.0
38,Gate13,-112.020435,33.456140299999994,,POINT (-112.020435 33.456140299999994),0,14000.0,14000.0
39,Gate14,-112.020435,33.451400299999996,,POINT (-112.020435 33.451400299999996),0,4000.0,4000.0
40,Gate15,-112.020435,33.4466603,,POINT (-112.020435 33.4466603),0,12000.0,12000.0
41,Gate16,-112.037625,33.44192,,POINT (-112.037625 33.44192),0,34000.0,34000.0
42,Gate17,-112.054815,33.44192,,POINT (-112.054815 33.44192),0,10000.0,10000.0
43,Gate18,-112.072005,33.44192,,POINT (-112.072005 33.44192),0,10000.0,10000.0
44,Gate19,-112.089195,33.44192,,POINT (-112.089195 33.44192),0,4000.0,4000.0
45,Gate20,-112.106385,33.44192,,POINT (-112.106385 33.44192),0,10000.0,10000.0
1,A1,-112.10458610240002,33.465886375999986,"POLYGON ((-112.11498 33.46325,-112.11498 33.46799,-112.09779 33.46799,-112.09779 33.46325,-112.11498 33.46325))",POINT (-112.10458610240002 33.465886375999986),250,578.7305767016325,3565.0131737976467
2,A2,-112.08863360847444,33.46454870790963,"POLYGON ((-112.09779 33.46325,-112.09779 33.46799,-112.0806 33.46799,-112.0806 33.46325,-112.09779 33.46325))",POINT (-112.08863360847444 33.46454870790963),1006,2609.2035966149374,3794.299324688893
3,A3,-112.07457309506164,33.465231390617305,"POLYGON ((-112.0806 33.46325,-112.0806 33.46799,-112.06341 33.46799,-112.06341 33.46325,-112.0806 33.46325))",POINT (-112.07457309506164 33.465231390617305),740,3983.2090265990387,8861.108170658306
4,A4,-112.05271164712046,33.465210325130876,"POLYGON ((-112.06341 33.46325,-112.06341 33.46799,-112.04622 33.46799,-112.04622 33.46325,-112.06341 33.46325))",POINT (-112.05271164712046 33.465210325130876),310,2522.2420982142075,9206.147178565065
5,A5,-112.03824433515642,33.465452564843766,"POLYGON ((-112.04622 33.46325,-112.04622 33.46799,-112.02903 33.46799,-112.02903 33.46325,-112.04622 33.46325))",POINT (-112.03824433515642 33.465452564843766),690,2130.58378934874,5061.21707731585
6,B1,-112.10290113076928,33.46110643076923,"POLYGON ((-112.1149763 33.458510000000004,-112.1149763 33.46325,-112.0977863 33.46325,-112.0977863 33.458510000000004,-112.1149763 33.458510000000004))",POINT (-112.10290113076928 33.46110643076923),68,922.5265812762876,1508.767267430925
7,B2,-112.08902944204952,33.46220532332154,"POLYGON ((-112.0977863 33.458510000000004,-112.0977863 33.46325,-112.0805963 33.46325,-112.0805963 33.458510000000004,-112.0977863 33.458510000000004))",POINT (-112.08902944204952 33.46220532332154),490,1999.720269877132,2598.1182546330483
8,B3,-112.07353525796609,33.46061928237288,"POLYGON ((-112.0805963 33.458510000000004,-112.0805963 33.46325,-112.0634063 33.46325,-112.0634063 33.458510000000004,-112.0805963 33.458510000000004))",POINT (-112.07353525796609 33.46061928237288),472,4107.466459416154,5436.26756009444
9,B4,-112.05242714029853,33.461084516417905,"POLYGON ((-112.0634063 33.458510000000004,-112.0634063 33.46325,-112.0462163 33.46325,-112.0462163 33.458510000000004,-112.0634063 33.458510000000004))",POINT (-112.05242714029853 33.461084516417905),70,881.8939139678721,1415.281539637325
10,B5,-112.04165146582277,33.462052229113894,"POLYGON ((-112.0462163 33.458510000000004,-112.0462163 33.46325,-112.0290263 33.46325,-112.0290263 33.458510000000004,-112.0462163 33.458510000000004))",POINT (-112.04165146582277 33.462052229113894),120,576.7890391059198,2309.815318440385
11,C1,-112.10310406037735,33.45585695094341,"POLYGON ((-112.1149763 33.453770000000006,-112.1149763 33.458510000000004,-112.0977863 33.458510000000004,-112.0977863 33.453770000000006,-112.1149763 33.453770000000006))",POINT (-112.10310406037735 33.45585695094341),92,675.1690313128319,5802.073417440474
12,C2,-112.08930812564094,33.45563149829059,"POLYGON ((-112.0977863 33.453770000000006,-112.0977863 33.458510000000004,-112.0805963 33.458510000000004,-112.0805963 33.453770000000006,-112.0977863 33.453770000000006))",POINT (-112.08930812564094 33.45563149829059),184,1331.9875203223685,3933.335868286338
13,C3,-112.07192724964034,33.45630667769786,"POLYGON ((-112.0805963 33.453770000000006,-112.0805963 33.458510000000004,-112.0634063 33.458510000000004,-112.0634063 33.453770000000006,-112.0805963 33.453770000000006))",POINT (-112.07192724964034 33.45630667769786),458,3992.195850271179,7199.139277929641
14,C4,-112.05323979157892,33.455905848421054,"POLYGON ((-112.0634063 33.453770000000006,-112.0634063 33.458510000000004,-112.0462163 33.458510000000004,-112.0462163 33.453770000000006,-112.0634063 33.453770000000006))",POINT (-112.05323979157892 33.455905848421054),106,2902.677063124287,1227.4821743628297
15,C5,-112.03917068431375,33.45625651176471,"POLYGON ((-112.0462163 33.453770000000006,-112.0462163 33.458510000000004,-112.0290263 33.458510000000004,-112.0290263 33.453770000000006,-112.0462163 33.453770000000006))",POINT (-112.03917068431375 33.45625651176471),36,2595.7142427290755,1627.3581387701252
16,D1,-112.10299957572815,33.45113841650486,"POLYGON ((-112.1149763 33.44903000000001,-112.1149763 33.453770000000006,-112.0977863 33.453770000000006,-112.0977863 33.44903000000001,-112.1149763 33.44903000000001))",POINT (-112.10299957572815 33.45113841650486),154,1164.8791547294331,3165.1529209217792
17,D2,-112.09009625391701,33.451213529953925,"POLYGON ((-112.0977863 33.44903000000001,-112.0977863 33.453770000000006,-112.0805963 33.453770000000006,-112.0805963 33.44903000000001,-112.0977863 33.44903000000001))",POINT (-112.09009625391701 33.451213529953925),370,2747.2464980273057,7290.725929321852
18,D3,-112.07168945719695,33.45106849242426,"POLYGON ((-112.0805963 33.44903000000001,-112.0805963 33.453770000000006,-112.0634063 33.453770000000006,-112.0634063 33.44903000000001,-112.0805963 33.44903000000001))",POINT (-112.07168945719695 33.45106849242426),456,12341.923570249935,12913.90424943447
19,D4,-112.05651710476185,33.451137055238085,"POLYGON ((-112.0634063 33.44903000000001,-112.0634063 33.453770000000006,-112.0462163 33.453770000000006,-112.0462163 33.44903000000001,-112.0634063 33.44903000000001))",POINT (-112.05651710476185 33.451137055238085),122,3482.739647966631,2505.4423296113546
20,D5,-112.03612307894737,33.45124953859648,"POLYGON ((-112.0462163 33.44903000000001,-112.0462163 33.453770000000006,-112.0290263 33.453770000000006,-112.0290263 33.44903000000001,-112.0462163 33.44903000000001))",POINT (-112.03612307894737 33.45124953859648),72,1195.9530784793594,1421.1879035993595
21,E1,-112.1088724927186,33.446864532038816,"POLYGON ((-112.1149763 33.44429000000001,-112.1149763 33.44903000000001,-112.0977863 33.44903000000001,-112.0977863 33.44429000000001,-112.1149763 33.44429000000001))",POINT (-112.1088724927186 33.446864532038816),350,1941.8424909385344,4303.909304460887
22,E2,-112.08854913636364,33.44703852272727,"POLYGON ((-112.0977863 33.44429000000001,-112.0977863 33.44903000000001,-112.0805963 33.44903000000001,-112.0805963 33.44429000000001,-112.0977863 33.44429000000001))",POINT (-112.08854913636364 33.44703852272727),246,4831.329719594074,7302.869484531273
23,E3,-112.0743468558974,33.447022809743544,"POLYGON ((-112.0805963 33.44429000000001,-112.0805963 33.44903000000001,-112.0634063 33.44903000000001,-112.0634063 33.44429000000001,-112.0805963 33.44429000000001))",POINT (-112.0743468558974 33.447022809743544),312,6048.323439579545,12603.867446046412
24,E4,-112.05457398601044,33.447249482901555,"POLYGON ((-112.0634063 33.44429000000001,-112.0634063 33.44903000000001,-112.0462163 33.44903000000001,-112.0462163 33.44429000000001,-112.0634063 33.44429000000001))",POINT (-112.05457398601044 33.447249482901555),324,2887.4720835075177,5809.636498994483
25,E5,-112.03813715555556,33.44698029259257,"POLYGON ((-112.0462163 33.44429000000001,-112.0462163 33.44903000000001,-112.0290263 33.44903000000001,-112.0290263 33.44429000000001,-112.0462163 33.44429000000001))",POINT (-112.03813715555556 33.44698029259257),150,1951.3511744476816,2066.879277546767
26,Gate1,-112.1235713,33.44666,,POINT (-112.1235713 33.44666),0,0.0,0.0
27,Gate2,-112.1235713,33.4514,,POINT (-112.1235713 33.4514),0,10000.0,10000.0
28,Gate3,-112.1235713,33.456140000000005,,POINT (-112.1235713 33.456140000000005),0,0.0,0.0
29,Gate4,-112.1235713,33.46088,,POINT (-112.1235713 33.46088),0,6000.0,6000.0
30,Gate5,-112.1235713,33.46562,,POINT (-112.1235713 33.46562),0,0.0,0.0
31,Gate6,-112.1063813,33.470360299999996,,POINT (-112.1063813 33.470360299999996),0,18000.0,18000.0
32,Gate7,-112.0891913,33.470360299999996,,POINT (-112.0891913 33.470360299999996),0,16000.0,16000.0
33,Gate8,-112.0720013,33.470360299999996,,POINT (-112.0720013 33.470360299999996),0,2000.0,2000.0
34,Gate9,-112.0548113,33.470360299999996,,POINT (-112.0548113 33.470360299999996),0,16000.0,16000.0
35,Gate10,-112.0376213,33.470360299999996,,POINT (-112.0376213 33.470360299999996),0,12000.0,12000.0
36,Gate11,-112.020435,33.4656203,,POINT (-112.020435 33.4656203),0,2000.0,2000.0
37,Gate12,-112.020435,33.4608803,,POINT (-112.020435 33.4608803),0,20000.0,20000.0
38,Gate13,-112.020435,33.456140299999994,,POINT (-112.020435 33.456140299999994),0,14000.0,14000.0
39,Gate14,-112.020435,33.451400299999996,,POINT (-112.020435 33.451400299999996),0,4000.0,4000.0
40,Gate15,-112.020435,33.4466603,,POINT (-112.020435 33.4466603),0,12000.0,12000.0
41,Gate16,-112.037625,33.44192,,POINT (-112.037625 33.44192),0,34000.0,34000.0
42,Gate17,-112.054815,33.44192,,POINT (-112.054815 33.44192),0,10000.0,10000.0
43,Gate18,-112.072005,33.44192,,POINT (-112.072005 33.44192),0,10000.0,10000.0
44,Gate19,-112.089195,33.44192,,POINT (-112.089195 33.44192),0,4000.0,4000.0
45,Gate20,-112.106385,33.44192,,POINT (-112.106385 33.44192),0,10000.0,10000.0
