name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
,0,6230838,1,2,,334.75511538999035,,,,trunk,2,"LINESTRING (-87.1682162 32.9637899, -87.167781 32.963656, -87.16723 32.963451, -87.166755 32.963279, -87.166434 32.963171, -87.16594 32.963033, -87.164845 32.962773)",auto
,1,6231424,4,5,,50.55447790775399,,,,trunk,2,"LINESTRING (-87.135228 32.958973, -87.135024 32.959097, -87.1347425 32.9591553)",auto
,2,6231424,5,6,,370.0474804786099,,,,trunk,2,"LINESTRING (-87.1347425 32.9591553, -87.1345259 32.9590794, -87.133759 32.958819, -87.133519 32.958723, -87.133377 32.958637, -87.133271 32.958519, -87.133208 32.958382, -87.133189 32.958233, -87.133221 32.958091, -87.133299 32.957963, -87.133479 32.957814, -87.133697 32.957704, -87.133945 32.957639, -87.134197 32.957614, -87.134766 32.957622)",auto
,3,6231495,7,8,,392.21513289039757,,,,trunk,2,"LINESTRING (-87.1683973 32.9648064, -87.168117 32.965085, -87.168012 32.965204, -87.16788 32.965303, -87.167724 32.965373, -87.167553 32.965406, -87.167378 32.965411, -87.167204 32.965395, -87.167036 32.965353, -87.166881 32.965285, -87.166744 32.96519, -87.166633 32.965074, -87.16656 32.964939, -87.166522 32.964796, -87.166518 32.964647, -87.166553 32.964501, -87.166632 32.964368, -87.166753 32.96426, -87.166905 32.964188, -87.167073 32.964154, -87.167246 32.964159, -87.1676641 32.9642341)",auto
,4,6231498,9,10,,457.89990718459705,,,,trunk,2,"LINESTRING (-87.164305 32.962881, -87.164883 32.96322, -87.165144 32.963408, -87.16537 32.963623, -87.165557 32.963862, -87.165822 32.964306, -87.166116 32.964824, -87.166237 32.965013, -87.166388 32.96519, -87.166571 32.965342, -87.166779 32.965471, -87.166986 32.9655456, -87.1671459 32.9655931, -87.1673879 32.9656432, -87.1676089 32.9656803)",auto
,5,6231498,10,11,,36.57825655823336,,,,trunk,2,"LINESTRING (-87.1676089 32.9656803, -87.16791 32.965891)",auto
,6,6233881,23,14,,305.94176129295397,,,,trunk,2,"LINESTRING (-87.168108 32.96587, -87.1682307 32.9657155, -87.1683032 32.9656411, -87.168454 32.965604, -87.168542 32.965597, -87.168629 32.965598, -87.168714 32.965617, -87.168796 32.965639, -87.168875 32.965665, -87.169262 32.96582, -87.169633 32.966003, -87.16999 32.96622, -87.170331 32.966473, -87.170527 32.966634, -87.170777 32.966805)",auto
,7,6233932,10,13,,43.93229330489616,,,,trunk,2,"LINESTRING (-87.1676089 32.9656803, -87.16788 32.9656962, -87.168073 32.965655)",auto
,8,107106184,30,54,,561.4244553177716,,65,,trunk,2,"LINESTRING (-87.0661328 32.9381155, -87.0663887 32.9382862, -87.0673321 32.9387537, -87.0685502 32.9392611, -87.0705776 32.9399454, -87.0715568 32.9402601)",auto
,9,107106184,54,56,,511.81834633564034,,65,,trunk,2,"LINESTRING (-87.0715568 32.9402601, -87.074964 32.9413553, -87.0766841 32.9418943)",auto
,10,107106184,56,58,,565.6095878005283,,65,,trunk,2,"LINESTRING (-87.0766841 32.9418943, -87.0770129 32.9419973, -87.0824448 32.9434752)",auto
,11,107106184,58,60,,439.82416559822445,,65,,trunk,2,"LINESTRING (-87.0824448 32.9434752, -87.082929 32.9436069, -87.0869491 32.9446399)",auto
,12,107106184,60,32,,985.0574005791889,,65,,trunk,2,"LINESTRING (-87.0869491 32.9446399, -87.0888566 32.9451301, -87.0950745 32.9467653, -87.096994 32.9473584)",auto
,13,107106184,32,62,,971.9585443318247,,65,,trunk,2,"LINESTRING (-87.096994 32.9473584, -87.0999907 32.9483665, -87.1039621 32.949941, -87.1064683 32.9509805)",auto
,14,107106184,62,64,,596.184834420222,,65,,trunk,2,"LINESTRING (-87.1064683 32.9509805, -87.1077909 32.9515291, -87.1100296 32.9524647, -87.1122222 32.9533105)",auto
,15,107106184,64,34,,1727.1649506115746,,65,,trunk,2,"LINESTRING (-87.1122222 32.9533105, -87.1139581 32.9539802, -87.1154047 32.9544613, -87.116885 32.9549224, -87.118839 32.955323, -87.1231727 32.9561401, -87.1261769 32.9566929, -87.1283126 32.9570063, -87.1300573 32.9572504)",auto
,16,107106184,34,6,,441.3269006568785,,65,,trunk,2,"LINESTRING (-87.1300573 32.9572504, -87.1305564 32.957306, -87.1332743 32.9574913, -87.134766 32.957622)",auto
,17,107106187,12,33,,419.30910382417926,,65,,trunk,2,"LINESTRING (-87.1345193 32.9573713, -87.1307804 32.957109, -87.1300467 32.957015)",auto
,18,107106187,33,65,,1714.2935490285158,,65,,trunk,2,"LINESTRING (-87.1300467 32.957015, -87.1283559 32.9567984, -87.1262255 32.9564858, -87.1232273 32.9559341, -87.1188964 32.9551175, -87.1169589 32.9547203, -87.1154948 32.9542642, -87.1140571 32.953786, -87.1123406 32.9531239)",auto
,19,107106187,65,63,,597.2532277379289,,65,,trunk,2,"LINESTRING (-87.1123406 32.9531239, -87.1101382 32.9522743, -87.1079027 32.95134, -87.1065763 32.9507899)",auto
,20,107106187,63,31,,973.7598301080366,,65,,trunk,2,"LINESTRING (-87.1065763 32.9507899, -87.1040715 32.949751, -87.1000913 32.9481729, -87.0970843 32.9471614)",auto
,21,107106187,31,61,,986.5216612850877,,65,,trunk,2,"LINESTRING (-87.0970843 32.9471614, -87.0951556 32.9465654, -87.0889311 32.9449285, -87.0870246 32.9444386)",auto
,22,107106187,61,59,,439.15406912325255,,65,,trunk,2,"LINESTRING (-87.0870246 32.9444386, -87.0830046 32.9434055, -87.0825272 32.9432756)",auto
,23,107106187,59,57,,565.2161826918066,,65,,trunk,2,"LINESTRING (-87.0825272 32.9432756, -87.0770957 32.941798, -87.0767704 32.9416961)",auto
,24,107106187,57,55,,510.42426316952395,,65,,trunk,2,"LINESTRING (-87.0767704 32.9416961, -87.075053 32.9411579, -87.0716571 32.9400663)",auto
,25,107106187,55,29,,558.1505402603716,,65,,trunk,2,"LINESTRING (-87.0716571 32.9400663, -87.0706696 32.9397489, -87.0686532 32.9390683, -87.0674521 32.938568, -87.0665316 32.9381118, -87.0662652 32.9379341)",auto
,26,132783141,16,51,,30.870652861517883,,55,,trunk,2,"LINESTRING (-87.1477335 32.9584848, -87.1474074 32.9584378)",auto
,27,132783141,51,52,,187.58570766507563,,55,,trunk,2,"LINESTRING (-87.1474074 32.9584378, -87.1469758 32.9583756, -87.1456028 32.9581981, -87.1454206 32.9581802)",auto
,28,132783141,52,24,,435.34313664570357,,55,,trunk,2,"LINESTRING (-87.1454206 32.9581802, -87.1437715 32.9580181, -87.1431274 32.9579706, -87.1407747 32.9578251)",auto
,29,132783151,17,46,,42.006656623808446,,55,,trunk,2,"LINESTRING (-87.147743 32.958728, -87.1481842 32.9588033)",auto
,30,199103085,25,53,,285.6311031741078,,55,,trunk,2,"LINESTRING (-87.1407586 32.9580381, -87.142706 32.958163, -87.1437332 32.9582413, -87.1438098 32.9582471)",auto
,31,199103085,53,50,,238.5342332557423,,55,,trunk,2,"LINESTRING (-87.1438098 32.9582471, -87.143887 32.958253, -87.145073 32.958357, -87.146251 32.958495, -87.1463466 32.9585099)",auto
,32,199103085,50,47,,5.475623209274098,,55,,trunk,2,"LINESTRING (-87.1463466 32.9585099, -87.1464043 32.9585189)",auto
,33,218678204,20,40,,27.47155138736239,,65,,trunk,2,"LINESTRING (-87.151043 32.959418, -87.1513243 32.959491)",auto
,34,218678204,40,38,,201.4203480587622,,65,,trunk,2,"LINESTRING (-87.1513243 32.959491, -87.1533868 32.9600262)",auto
,35,218678204,38,28,,620.9321971941313,,65,,trunk,2,"LINESTRING (-87.1533868 32.9600262, -87.153733 32.960116, -87.156622 32.96087, -87.157136 32.961005, -87.158856 32.961444, -87.1597442 32.9616784)",auto
,36,218678204,28,9,,446.0520355291858,,65,,trunk,2,"LINESTRING (-87.1597442 32.9616784, -87.160595 32.961903, -87.161701 32.962215, -87.164305 32.962881)",auto
,37,218678204,9,8,,349.00897151741555,,65,,trunk,2,"LINESTRING (-87.164305 32.962881, -87.164759 32.963005, -87.165166 32.963127, -87.165566 32.963265, -87.16596 32.963414, -87.166349 32.963575, -87.166732 32.963746, -87.167109 32.963932, -87.167475 32.964129, -87.1676641 32.9642341)",auto
,38,218678210,19,37,,40.79519295932411,,55,,trunk,2,"LINESTRING (-87.151132 32.95924, -87.15078 32.959156, -87.1507119 32.9591383)",auto
,39,218678210,37,43,,111.74841456870956,,55,,trunk,2,"LINESTRING (-87.1507119 32.9591383, -87.1495681 32.9588401)",auto
,40,218678210,43,48,,49.81747284121364,,55,,trunk,2,"LINESTRING (-87.1495681 32.9588401, -87.149418 32.958801, -87.1490512 32.9587287)",auto
,41,218678210,48,16,,125.93244068311787,,55,,trunk,2,"LINESTRING (-87.1490512 32.9587287, -87.1480678 32.9585347, -87.1477335 32.9584848)",auto
,42,218678220,27,28,,21.324186675468905,,,,trunk,2,"LINESTRING (-87.159811 32.961495, -87.1597442 32.9616784)",auto
,43,532643786,27,39,,494.1498471295015,,65,,trunk,2,"LINESTRING (-87.159811 32.961495, -87.159537 32.961423, -87.157059 32.96078, -87.155089 32.960265, -87.1547525 32.9601778)",auto
,44,532643786,39,42,,243.00286606946068,,65,,trunk,2,"LINESTRING (-87.1547525 32.9601778, -87.1522638 32.9595332)",auto
,45,532643786,42,35,,75.8790575616626,,65,,trunk,2,"LINESTRING (-87.1522638 32.9595332, -87.1514867 32.9593319)",auto
,46,532643786,35,19,,34.63494300562698,,65,,trunk,2,"LINESTRING (-87.1514867 32.9593319, -87.151132 32.95924)",auto
,47,532643793,0,1,,62.15799681563766,,,,trunk,2,"LINESTRING (-87.168798 32.963578, -87.1686628 32.9636683, -87.1685578 32.9637467, -87.1684107 32.9637957, -87.1682162 32.9637899)",auto
,48,629615287,35,36,,52.500105130637756,,,,trunk,2,"LINESTRING (-87.1514867 32.9593319, -87.1513692 32.9592364, -87.151311 32.9591173, -87.1512928 32.9590318, -87.151313 32.9589137)",auto
,49,629615288,18,37,,58.231466667680934,,,,trunk,2,"LINESTRING (-87.151267 32.958983, -87.1511691 32.9590807, -87.1510672 32.9591265, -87.1509726 32.9591387, -87.1507119 32.9591383)",auto
,50,629615289,38,39,,136.8051403200337,,,,trunk,2,"LINESTRING (-87.1533868 32.9600262, -87.1546077 32.9602744, -87.1546914 32.9602653, -87.1547277 32.9602409, -87.1547525 32.9601778)",auto
,51,629615292,42,20,,118.08112613396713,,,,trunk,2,"LINESTRING (-87.1522638 32.9595332, -87.1518557 32.9594745, -87.151394 32.9593638, -87.1512415 32.9593534, -87.1511426 32.9593638, -87.151043 32.959418)",auto
,52,629615293,26,19,,134.2882843447057,,,,trunk,2,"LINESTRING (-87.149736 32.959111, -87.1504171 32.9592081, -87.150854 32.9592946, -87.1509529 32.959305, -87.1510354 32.9592946, -87.151132 32.95924)",auto
,53,629615294,43,17,,175.32649077988893,,,,trunk,2,"LINESTRING (-87.1495681 32.9588401, -87.1483683 32.9586962, -87.1479973 32.9586374, -87.1478736 32.9586478, -87.1478118 32.9586686, -87.147743 32.958728)",auto
,54,629615295,45,46,,55.76510559202542,,,,trunk,2,"LINESTRING (-87.1477974 32.9591019, -87.1478306 32.9590097, -87.147849 32.9589402, -87.1478997 32.9588783, -87.1479596 32.9588358, -87.1480217 32.9588146, -87.1481842 32.9588033)",auto
,55,629615296,26,41,,94.41245710739489,,55,,trunk,2,"LINESTRING (-87.149736 32.959111, -87.150511 32.959294, -87.1507103 32.9593404)",auto
,56,629615296,41,20,,32.21752217220176,,55,,trunk,2,"LINESTRING (-87.1507103 32.9593404, -87.151043 32.959418)",auto
,57,629615297,46,26,,148.79535081830593,,55,,trunk,2,"LINESTRING (-87.1481842 32.9588033, -87.148587 32.958872, -87.149736 32.959111)",auto
,58,629615298,47,44,,143.1903136820595,,,,trunk,2,"LINESTRING (-87.1464043 32.9585189, -87.1474829 32.9587779, -87.147621 32.9588436, -87.1477039 32.9589093, -87.1477691 32.9590133)",auto
,59,629615300,48,49,,141.1511278154257,,,,trunk,2,"LINESTRING (-87.1490512 32.9587287, -87.1480992 32.9584694, -87.1479166 32.9583948, -87.1478129 32.9583327, -87.1476934 32.9582181)",auto
,60,629615301,47,17,,127.0459113817155,,55,,trunk,2,"LINESTRING (-87.1464043 32.9585189, -87.147743 32.958728)",auto
,61,629615303,50,16,,137.1833252176849,,,,trunk,2,"LINESTRING (-87.1463466 32.9585099, -87.1470265 32.9585675, -87.1474583 32.9586121, -87.1475716 32.9586121, -87.1476459 32.9585942, -87.1477061 32.9585467, -87.1477335 32.9584848)",auto
,62,629615304,15,51,,47.10461895397688,,,,trunk,2,"LINESTRING (-87.14767 32.9581477, -87.1476742 32.9582706, -87.1476423 32.9583359, -87.1475963 32.9583834, -87.1475397 32.9584101, -87.1474074 32.9584378)",auto
,63,629615305,52,53,,160.3936175028437,,,,trunk,2,"LINESTRING (-87.1454206 32.9581802, -87.1444696 32.9581528, -87.1438803 32.9581248, -87.1438233 32.9581585, -87.14381 32.958195, -87.1438098 32.9582471)",auto
,64,817900451,54,55,,23.494512349149694,,,,trunk,2,"LINESTRING (-87.0715568 32.9402601, -87.0716571 32.9400663)",auto
,65,817900452,56,57,,23.464136697186053,,,,trunk,2,"LINESTRING (-87.0766841 32.9418943, -87.0767704 32.9416961)",auto
,66,817900453,58,59,,23.488724682753535,,,,trunk,2,"LINESTRING (-87.0824448 32.9434752, -87.0825272 32.9432756)",auto
,67,817900454,60,61,,23.466108950302356,,,,trunk,2,"LINESTRING (-87.0869491 32.9446399, -87.0870246 32.9444386)",auto
,68,817900455,32,31,,23.470081147752133,,,,trunk,2,"LINESTRING (-87.096994 32.9473584, -87.0970843 32.9471614)",auto
,69,817900456,62,63,,23.46755129518192,,,,trunk,2,"LINESTRING (-87.1064683 32.9509805, -87.1065763 32.9507899)",auto
,70,817900457,64,65,,23.506676915989278,,,,trunk,2,"LINESTRING (-87.1122222 32.9533105, -87.1123406 32.9531239)",auto
,71,827611772,21,3,,82.58068733719269,,65,,trunk,2,"LINESTRING (-87.171576 32.967455, -87.171096 32.966831)",auto
,72,107106183;373338817,12,33,,1016.524296619166,,,,trunk,2,"LINESTRING (-87.1345193 32.9573713, -87.134287 32.957327, -87.134041 32.957251, -87.133814 32.957138, -87.133629 32.956977, -87.133517 32.956769, -87.133511 32.956619, -87.133554 32.956474, -87.133703 32.956287, -87.133932 32.95617, -87.134192 32.956152, -87.135037 32.95631, -87.135642 32.956434, -87.1361279 32.9565241, -87.1357727 32.9563019, -87.1349048 32.9560518, -87.1344752 32.9559782, -87.1341771 32.9559635, -87.1336336 32.9560297, -87.1331514 32.9561621, -87.1322133 32.9565299, -87.1317312 32.9567212, -87.1312841 32.956861, -87.1306704 32.9569566, -87.1300467 32.957015)",auto
,73,373338816;6231821,34,5,,565.4992956279942,,,,trunk,2,"LINESTRING (-87.1300573 32.9572504, -87.1305827 32.9574016, -87.1311964 32.9576003, -87.1318013 32.9578945, -87.1325027 32.9583138, -87.1330725 32.9586669, -87.133467 32.958917, -87.1339492 32.9591009, -87.1344401 32.9592039, -87.1347295 32.9592701, -87.1350979 32.9592696, -87.1347425 32.9591553)",auto
,74,532643792;532643786,2,27,,490.7343833252453,,65,,trunk,2,"LINESTRING (-87.164845 32.962773, -87.164594 32.962708, -87.1634174 32.9623905, -87.162381 32.96215, -87.160945 32.961793, -87.159811 32.961495)",auto
,75,6236985;199103084,6,25,,561.0349853484971,,65,,trunk,2,"LINESTRING (-87.134766 32.957622, -87.136613 32.95774, -87.1380282 32.9578492, -87.1391029 32.957919, -87.1394408 32.957943, -87.1397468 32.9579648, -87.1400568 32.9579868, -87.1407586 32.9580381)",auto
,76,199103083;199103089,24,12,,585.825090556653,,65,,trunk,2,"LINESTRING (-87.1407747 32.9578251, -87.1400133 32.9577741, -87.1397302 32.9577556, -87.139416 32.957735, -87.1380444 32.9576345, -87.13706 32.957569, -87.136509 32.957521, -87.136395 32.957512, -87.1345193 32.9573713)",auto
,77,827611772;218678206;218678202,3,2,,749.7916473032144,,65,,trunk,2,"LINESTRING (-87.171096 32.966831, -87.17076 32.966439, -87.170547 32.966209, -87.170251 32.965905, -87.169941 32.965614, -87.1696333 32.9653311, -87.1693043 32.9650546, -87.1689509 32.9647809, -87.1685646 32.9645069, -87.1681027 32.9642164, -87.1677359 32.9640115, -87.1674353 32.9638535, -87.167107 32.963693, -87.166707 32.963503, -87.1663313 32.9633154, -87.1659101 32.9631283, -87.1653686 32.9629472, -87.164845 32.962773)",auto
,78,218678204;218678203;532643780,8,14,,409.70831014545706,,65,,trunk,2,"LINESTRING (-87.1676641 32.9642341, -87.1680239 32.9644461, -87.1684642 32.9647333, -87.1688512 32.9650031, -87.169181 32.965262, -87.169492 32.965515, -87.169793 32.965778, -87.170082 32.966051, -87.170358 32.966335, -87.170625 32.966624, -87.170777 32.966805)",auto
,79,532643780;532643775,14,22,,100.03663714359733,,65,,trunk,2,"LINESTRING (-87.170777 32.966805, -87.1709075 32.9669558, -87.171176 32.967292, -87.171376 32.967551)",auto
,80,6230899;532643802;532643803,3,1,,441.38703086288854,,,,trunk,2,"LINESTRING (-87.171096 32.966831, -87.170881 32.966478, -87.170735 32.966214, -87.170318 32.965567, -87.170087 32.965257, -87.169824 32.964964, -87.1696272 32.9647301, -87.169403 32.9645342, -87.1691415 32.9643148, -87.168922 32.9641209, -87.1687282 32.9640268, -87.168519 32.963935, -87.1682162 32.9637899)",auto
,81,629615291;629615290,41,40,,85.18722609107243,,,,trunk,2,"LINESTRING (-87.1507103 32.9593404, -87.1508123 32.9594053, -87.150879 32.9594778, -87.1509111 32.9595606, -87.1509306 32.9596587, -87.1510596 32.9595568, -87.1511767 32.9595217, -87.1513243 32.959491)",auto
